epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4535.29,0.16011,0.24354,0.81838,0.44433,0.42442,0.34019,0.20555,1.97493,2.70212,2.03691,0.000660045,0.000660045,0.000660045
43,4642.67,0.16021,0.24505,0.81826,0.35646,0.38817,0.33556,0.21071,2.09358,2.21915,2.1552,0.000649046,0.000649046,0.000649046
44,4750.02,0.15288,0.23377,0.81901,0.39497,0.41242,0.33447,0.21451,1.587,1.92852,1.85504,0.000638047,0.000638047,0.000638047
45,4857.57,0.14929,0.23181,0.81498,0.47258,0.37422,0.37995,0.23725,1.88199,1.94607,1.97437,0.000627048,0.000627048,0.000627048
46,4964.91,0.15564,0.23862,0.81527,0.31128,0.47079,0.31213,0.18282,1.97094,2.13406,1.9635,0.000616049,0.000616049,0.000616049
47,5072.28,0.15398,0.244,0.81872,0.40378,0.38594,0.32929,0.19623,1.49362,2.12151,1.7985,0.000605051,0.000605051,0.000605051
48,5179.63,0.15228,0.23863,0.81593,0.42333,0.44112,0.34802,0.22905,1.64833,2.06615,1.90875,0.000594052,0.000594052,0.000594052
49,5287.04,0.15005,0.2351,0.81317,0.30846,0.33328,0.28946,0.18738,1.7786,2.11663,1.81321,0.000583053,0.000583053,0.000583053
50,5394.44,0.15203,0.23337,0.81406,0.54147,0.36974,0.3705,0.24444,1.89243,2.02379,1.98967,0.000572054,0.000572054,0.000572054
51,5501.88,0.14769,0.23273,0.81398,0.35187,0.49384,0.39508,0.25058,1.61945,1.73396,1.98707,0.000561055,0.000561055,0.000561055
52,5609.34,0.14723,0.23156,0.81186,0.43249,0.45604,0.39457,0.25782,1.4099,2.06353,1.73864,0.000550056,0.000550056,0.000550056
53,5717.13,0.14557,0.22971,0.81348,0.58148,0.34614,0.39833,0.26752,1.49587,2.28699,1.83042,0.000539057,0.000539057,0.000539057
54,5824.95,0.14505,0.22858,0.8137,0.35086,0.50448,0.39395,0.24093,1.57277,2.26127,1.8633,0.000528058,0.000528058,0.000528058
55,5932.42,0.14572,0.22582,0.8091,0.50398,0.43165,0.4268,0.26942,1.67668,2.17246,1.97141,0.000517059,0.000517059,0.000517059
56,6040.39,0.14348,0.22486,0.81242,0.55689,0.32283,0.35702,0.2338,1.99758,2.59551,2.16922,0.00050606,0.00050606,0.00050606
57,6147.81,0.14062,0.22172,0.81125,0.33079,0.48989,0.37419,0.24771,1.78416,2.47515,1.90326,0.000495062,0.000495062,0.000495062
58,6255.33,0.1397,0.2215,0.81376,0.37469,0.39,0.37368,0.24977,1.87402,2.11433,1.96481,0.000484063,0.000484063,0.000484063
59,6362.75,0.1372,0.2217,0.81029,0.3893,0.30009,0.32,0.2081,1.9735,2.34367,2.13632,0.000473064,0.000473064,0.000473064
60,6470.14,0.13395,0.21684,0.81025,0.33059,0.51489,0.35909,0.2307,1.88328,2.28407,2.04587,0.000462065,0.000462065,0.000462065
61,6577.57,0.13594,0.21896,0.81062,0.35842,0.54151,0.43167,0.27679,1.75439,1.77833,1.94021,0.000451066,0.000451066,0.000451066
62,6685.49,0.13441,0.21733,0.80981,0.32482,0.53136,0.38793,0.25407,1.89363,2.43784,2.09576,0.000440067,0.000440067,0.000440067
63,6792.88,0.1349,0.22047,0.81087,0.39581,0.4449,0.38944,0.25143,1.88188,2.71809,2.00178,0.000429068,0.000429068,0.000429068
64,6900.26,0.13305,0.2155,0.81031,0.32696,0.60393,0.38332,0.24742,1.37905,1.46352,1.78683,0.000418069,0.000418069,0.000418069
65,7007.6,0.13039,0.21249,0.80883,0.30896,0.56581,0.35219,0.22395,1.31917,1.62816,1.71309,0.00040707,0.00040707,0.00040707
66,7114.97,0.13107,0.21401,0.80989,0.53333,0.39204,0.43519,0.29244,1.85038,1.80427,2.00852,0.000396071,0.000396071,0.000396071
67,7222.68,0.13073,0.21432,0.81002,0.52884,0.32722,0.37688,0.25168,1.96295,2.19848,2.27603,0.000385073,0.000385073,0.000385073
68,7330.02,0.13148,0.21055,0.80679,0.48244,0.41894,0.40736,0.26338,1.93111,2.29702,2.08118,0.000374074,0.000374074,0.000374074
