epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26594.6,0.21574,0.23634,0.86395,0.70843,0.57749,0.62369,0.56159,0.4235,0.81101,0.94182,0.00492625,0.00492625,0.00492625
43,27226.6,0.21317,0.23425,0.8627,0.646,0.61465,0.63876,0.57239,0.42773,0.7915,0.94746,0.0048025,0.0048025,0.0048025
44,27859,0.21068,0.23094,0.86148,0.6499,0.61944,0.63925,0.57144,0.42706,0.77402,0.95286,0.00467875,0.00467875,0.00467875
45,28491.2,0.21047,0.23037,0.86114,0.65748,0.60994,0.64156,0.57488,0.4312,0.78105,0.95447,0.004555,0.004555,0.004555
46,29123.8,0.20747,0.22767,0.85991,0.68419,0.59309,0.63793,0.57056,0.42735,0.80083,0.96135,0.00443125,0.00443125,0.00443125
47,29756.1,0.20635,0.22598,0.85803,0.66004,0.61433,0.63696,0.57061,0.41501,0.77503,0.95305,0.0043075,0.0043075,0.0043075
48,30388.4,inf,0.22381,0.85851,0.68669,0.59066,0.62877,0.56682,0.4173,0.7849,0.94933,0.00418375,0.00418375,0.00418375
49,31020.7,0.20381,0.22269,0.85759,0.76275,0.56244,0.63372,0.57252,0.41568,0.78959,0.95193,0.00406,0.00406,0.00406
50,31653.2,0.20172,0.22161,0.85776,0.7545,0.56501,0.63795,0.57536,0.41333,0.78338,0.94698,0.00393625,0.00393625,0.00393625
51,32285.8,0.20064,0.22002,0.85631,0.73083,0.58071,0.63454,0.57158,0.4141,0.77335,0.94552,0.0038125,0.0038125,0.0038125
52,32918.4,0.19763,0.21714,0.85578,0.67423,0.59689,0.62785,0.56309,0.41062,0.77229,0.94445,0.00368875,0.00368875,0.00368875
53,33550.7,0.19729,0.21542,0.85419,0.66822,0.59579,0.62145,0.55744,0.40982,0.77626,0.94044,0.003565,0.003565,0.003565
54,34182.6,0.19361,0.21299,0.85186,0.67224,0.59954,0.63036,0.56484,0.40906,0.78209,0.94033,0.00344125,0.00344125,0.00344125
55,34814.8,0.194,0.2109,0.85279,0.68689,0.59302,0.63233,0.56701,0.41214,0.79259,0.93966,0.0033175,0.0033175,0.0033175
56,35446.9,0.19022,0.20713,0.85113,0.67305,0.5999,0.63535,0.57151,0.41197,0.7954,0.93718,0.00319375,0.00319375,0.00319375
